TransactionID,Date,AccountHolder,TransactionCode,TransactionDescription,Amount,SourceSortCode,SourceAccountNumber,DestinationSortCode,DestinationAccountNumber,Beneficiary,IBAN,SWIFT,SuspicionType,SuspicionNotes
SUS000716,2024-12-25,Dr Sara Mason,MT103,SWIFT Credit Transfer,11546.53,23-43-70,92658712,98-37-43,01786218,Karl Webster,DE51476737231250500505,CSMYGB9OLG6,Money Laundering,Large international transactions with no clear source
SUS000717,2023-07-08,Thomas Ltd,FPO,Faster Payment Outgoing,18729.53,76-18-81,41753853,91-84-64,08874177,Oliver Baker-Thomas,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000718,2024-11-01,Mr Marc Jackson,BGC,Bank Giro Credit,954.96,51-74-63,13574698,21-64-51,21851257,Kirsty Nelson,,,Structuring,Many small deposits just below reporting threshold
SUS000719,2023-05-25,Holly Birch-Bevan,REF,Refund,633.8,11-51-47,43864157,16-26-50,90151684,Janice Walters,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000720,2023-02-14,Kayleigh Booth,ATM,ATM Transaction,404.55,64-33-33,48545751,48-23-16,50567469,Rita Vincent,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000721,2023-02-17,Austin-Price,REF,Refund,746.23,45-69-17,91307247,20-41-42,48959648,Leslie Hargreaves,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000722,2023-01-14,Anna Evans,CHQ,Cheque,1036.38,70-47-48,66165780,40-24-37,19719457,"Leonard, Thomson and Parsons",,,Round-Tripping,Funds sent back and forth between same entities
SUS000723,2023-10-22,Aimee James,ATM,ATM Transaction,400.68,37-15-34,20275039,99-65-97,21680147,Sutton-Williamson,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000724,2024-04-29,Samuel Chapman,SEPA,SEPA Credit Transfer,20528.75,16-60-92,53506567,81-63-58,06303146,Natasha Blake,DE78664847797977738565,PSRXGBG68S1,Money Laundering,Large international transactions with no clear source
SUS000725,2024-01-02,"Patel, Harris and Bolton",CHQ,Cheque,24667.75,16-22-40,15578957,35-19-91,64245292,Mrs Judith Martin,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000726,2023-03-29,Mrs Olivia Smith,BGC,Bank Giro Credit,980.19,51-88-28,22437318,52-40-25,08041928,"Gibson, Sykes and Hunter",,,Structuring,Many small deposits just below reporting threshold
SUS000727,2023-03-10,Lee Clayton,REF,Refund,73.21,71-68-81,36659235,34-41-44,49172607,Mr Graham Humphries,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000728,2024-06-09,Justin Hewitt,FPO,Faster Payment Outgoing,3265.49,47-30-35,48331689,28-69-74,62644104,Marc Chamberlain,,,Round-Tripping,Funds sent back and forth between same entities
SUS000729,2024-12-20,Carr Ltd,ATM,ATM Transaction,177.05,19-53-98,77949905,93-69-17,11284965,Gould PLC,,,Round-Tripping,Funds sent back and forth between same entities
SUS000730,2023-06-02,Abigail James,ATM,ATM Transaction,285.36,36-48-21,88328329,71-92-55,92063206,Mr Steven Walker,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000731,2023-11-21,Bradley Russell,FPO,Faster Payment Outgoing,20041.87,49-86-37,05957152,78-18-32,64646008,Damian Little,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000732,2024-04-21,"Lee, Jones and Cooper",BGC,Bank Giro Credit,984.56,92-98-14,19966069,86-58-83,67663439,Mr Malcolm Graham,,,Structuring,Many small deposits just below reporting threshold
SUS000733,2025-03-11,Hugh Jackson,ATM,ATM Transaction,466.63,61-80-44,85242708,22-44-72,93829390,Henry Group,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000734,2023-10-13,Colin Payne,POS,Point of Sale,996.63,72-80-98,80764794,53-85-88,79705670,"Singh, Lynch and Wright",,,Structuring,Many small deposits just below reporting threshold
SUS000735,2025-04-07,Gordon White,REF,Refund,398.15,51-50-73,01096332,72-17-93,08866142,Wright Group,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000736,2024-12-02,Marsden-Edwards,REF,Refund,759.29,44-83-74,75924199,49-96-54,62525418,Dale Nicholson,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000737,2025-03-08,Mrs Louise Brown,MT103,SWIFT Credit Transfer,2202.99,64-42-81,69250429,65-95-68,88446340,Miss Wendy Williams,DE39525880014402922178,PPOSGBJCQRG,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000738,2025-04-17,Claire Wallace,TFR,Transfer,4022.17,14-25-85,76720156,28-11-64,21285819,Mohammed Williams-Kent,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000739,2024-07-07,Hugh Gill,REF,Refund,121.6,94-50-73,67366738,31-75-67,27521280,Tina Humphries,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000740,2024-08-19,Elliott Mason,SEPA,SEPA Credit Transfer,17470.33,99-25-48,33294318,49-30-16,53131046,"Brown, Davis and Lee",DE96186543186102319669,NHOUGBJBFBB,Money Laundering,Large international transactions with no clear source
SUS000741,2024-04-25,Carol Jones,ATM,ATM Transaction,141.74,65-76-36,90273998,35-37-34,17687748,Price Group,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000742,2024-06-05,Phillip Payne,CHQ,Cheque,2731.41,38-43-93,71770249,60-26-99,54139677,Mrs Alison Stevens,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000743,2023-07-20,Ms Sharon Atkinson,ATM,ATM Transaction,409.69,16-38-55,04574905,98-65-45,23040003,"Smith, Law and Bryan",,,Account Takeover,Multiple transactions from different IPs/devices
SUS000744,2024-04-10,Abdul Mason,FPO,Faster Payment Outgoing,24189.48,68-73-97,12956197,21-33-65,74160549,Curtis-Murphy,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000745,2024-02-19,Williams Group,FPO,Faster Payment Outgoing,11451.63,25-59-86,49195737,69-48-93,34971675,Rosie Smith-Davidson,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000746,2024-02-05,Jayne Hill,MT103,SWIFT Credit Transfer,24768.21,42-47-78,07671972,33-11-86,51569014,"Holt, Turner and Hamilton",DE14180191636608807016,QYTCGB9LSP6,Money Laundering,Large international transactions with no clear source
SUS000747,2024-10-11,Mr Gordon Morton,TFR,Transfer,3799.16,12-33-48,51848656,38-68-44,95174895,Peter O'Connor,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000748,2023-08-13,Aaron Moore,FPO,Faster Payment Outgoing,18772.79,31-15-33,69613291,48-67-51,86407856,Andrews-Cook,,,Money Laundering,Large international transactions with no clear source
SUS000749,2023-02-26,Dawn James,TFR,Transfer,3136.23,84-94-30,28090176,24-44-75,46422790,Atkinson Inc,,,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000750,2025-02-17,Jane Harrison,ATM,ATM Transaction,270.49,14-53-56,51330436,40-36-88,35592525,"Riley, Harris and Roberts",,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000751,2024-02-27,Lees-Scott,POS,Point of Sale,969.05,27-44-65,68781601,56-34-47,24119744,Linda Briggs,,,Structuring,Many small deposits just below reporting threshold
SUS000752,2025-01-02,Dr Dawn Smith,BGC,Bank Giro Credit,958.5,18-68-46,41965923,34-91-61,81689155,Lewis-Wood,,,Structuring,Many small deposits just below reporting threshold
SUS000753,2023-06-17,Louise Jackson,POS,Point of Sale,960.01,63-52-87,24357167,68-16-58,77666571,Michelle Smith,,,Structuring,Many small deposits just below reporting threshold
SUS000754,2024-06-01,Jones-Turner,FPO,Faster Payment Outgoing,23391.94,11-17-67,35693724,37-88-42,99476803,Mr Arthur Kemp,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000755,2023-11-10,Dorothy Robinson,ATM,ATM Transaction,480.67,42-74-46,16079479,22-83-94,40938108,"Miles, Wong and Smith",,,Round-Tripping,Funds sent back and forth between same entities
SUS000756,2025-01-03,Brenda Clark-Taylor,POS,Point of Sale,962.1,62-85-16,56320452,48-85-87,76062791,Gregory Heath,,,Structuring,Many small deposits just below reporting threshold
SUS000757,2023-06-26,Scott Knight,CHQ,Cheque,11912.72,73-22-62,09590287,52-56-70,82440362,"Nicholls, Smith and Jones",,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000758,2023-05-21,Dr Georgia Cooper,ATM,ATM Transaction,245.28,77-16-60,39695926,25-36-73,82436626,Olivia Chamberlain,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000759,2023-04-13,Bethan Hall,FPO,Faster Payment Outgoing,3319.54,27-95-98,62230120,47-37-36,74401449,Rhys Kirk,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000760,2023-04-22,Ms Tracey Smith,CHQ,Cheque,19082.48,61-37-59,75988726,49-74-66,58640501,Mr Raymond Sharpe,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000761,2023-09-14,Dr Oliver Robinson,CHQ,Cheque,21170.96,84-47-11,77492366,73-17-33,66034491,Stacey Carter,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000762,2023-07-28,Mr Damian Hughes,REF,Refund,255.94,90-77-65,32994360,15-42-77,75041866,Miss Nicola Davis,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000763,2024-06-03,Dr Patrick Stevenson,TFR,Transfer,3897.73,26-12-17,23880645,27-12-60,84751380,Kelly Walker,,,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000764,2024-08-14,"Smith, Robinson and Allan",CHQ,Cheque,19176.21,86-30-45,04126497,55-17-83,47340096,Reynolds-Martin,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000765,2024-09-26,Eileen Jones,CHQ,Cheque,19005.51,55-76-33,23783444,19-86-92,90682725,Dr Gary Richards,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000766,2023-05-18,Dr Ben Hudson,FPO,Faster Payment Outgoing,3366.57,97-71-12,14191103,75-36-56,91528442,Stanley Richardson-Andrews,,,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000767,2023-10-12,Howell-Tomlinson,MT103,SWIFT Credit Transfer,24873.17,35-56-63,98368334,90-95-30,07704126,Dr Damian Miles,DE63806711961022000712,BHIQGB19HJ9,Money Laundering,Large international transactions with no clear source
SUS000768,2023-08-27,Vincent Gardner,CHQ,Cheque,1591.0,71-76-10,98506265,90-77-73,15824081,"Patel, Wright and Singh",,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000769,2025-01-07,Helen Hammond-Cross,FPO,Faster Payment Outgoing,22246.23,94-51-25,72397375,91-75-60,04090325,Gail Stephens,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000770,2023-01-30,Michelle Cameron,POS,Point of Sale,974.66,43-26-40,65735928,28-63-54,89262205,William Douglas-Ball,,,Structuring,Many small deposits just below reporting threshold
SUS000771,2023-12-09,John Hawkins,CHQ,Cheque,17249.69,47-41-67,88259461,21-92-96,49140387,"Holden, Thompson and Jenkins",,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000772,2024-11-08,Julia Rees,REF,Refund,258.69,71-73-42,87612818,75-25-78,94883998,Carter-Kemp,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000773,2024-10-16,Sharon Stone,ATM,ATM Transaction,484.56,54-59-16,20384753,58-46-27,56185740,Alison Flynn-Howell,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000774,2024-03-22,Pearce-Carter,FPO,Faster Payment Outgoing,17596.68,93-80-16,48700403,10-80-86,12714067,Conor Patel,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000775,2023-10-21,Gregory Whittaker,ATM,ATM Transaction,243.02,55-81-73,27771597,80-82-42,40978006,Hart PLC,,,Round-Tripping,Funds sent back and forth between same entities
SUS000776,2023-12-26,Hancock-McKenzie,CHQ,Cheque,11263.39,51-52-68,76357223,95-18-14,94040076,Megan Day,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000777,2025-03-26,Lloyd-Smith,ATM,ATM Transaction,71.21,92-85-38,46732385,91-10-60,39392849,Simon Knight,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000778,2023-10-03,Dr Rebecca Hughes,ATM,ATM Transaction,149.26,93-72-33,11021993,77-84-57,60432155,"Ahmed, Smith and Patel",,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000779,2023-07-29,Mr Wayne Turner,TFR,Transfer,4909.01,74-17-45,72475602,62-17-27,55256854,Miss Lucy Duffy,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000780,2023-07-10,Brenda Lawrence,CHQ,Cheque,22362.13,29-56-63,75990589,17-12-63,01941854,"Gilbert, Garner and Williams",,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000781,2023-01-21,Ms Marie Brown,CHQ,Cheque,3285.63,47-30-16,74426136,95-80-50,31747918,Walker Group,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000782,2025-04-27,Harrison-Smith,CSH,Cash transaction,961.99,47-19-24,61742231,62-28-68,04084493,"Rees, Taylor and Cooper",,,Structuring,Many small deposits just below reporting threshold
SUS000783,2023-02-27,Donna King-Harper,ATM,ATM Transaction,235.63,68-40-91,32144384,24-33-58,66593217,Henry Williams,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000784,2024-12-19,Dr Jay Wilson,REF,Refund,26.9,99-10-65,37537908,86-24-72,17977694,"Hamilton, Hicks and Owen",,,Fake Refunds,Frequent large refunds without matching purchases
SUS000785,2024-04-14,Dr Timothy Jenkins,FPO,Faster Payment Outgoing,15772.61,81-63-79,19768828,59-69-35,35212793,"Lynch, Hopkins and Thomas",,,Money Laundering,Large international transactions with no clear source
SUS000786,2023-11-13,Abdul Jones,REF,Refund,894.13,50-59-64,44643540,69-26-34,48297641,"Adams, Gardner and Smith",,,Account Takeover,Multiple transactions from different IPs/devices
SUS000787,2024-09-14,Gary Lloyd,REF,Refund,383.67,24-82-13,43497223,32-48-44,37593163,"Ward, Khan and Abbott",,,Round-Tripping,Funds sent back and forth between same entities
SUS000788,2025-03-15,Mrs Lucy Thomas,FPO,Faster Payment Outgoing,4092.73,99-81-10,28891871,76-29-30,42932703,Michael Andrews,,,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000789,2024-05-11,Damian Payne-Kirby,CHQ,Cheque,12500.12,93-89-41,72711705,13-22-30,79418331,Irene Preston,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000790,2024-03-19,Christopher Evans-Ward,TFR,Transfer,357.78,46-61-86,41358609,19-57-30,36035351,Kathleen Williams,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000791,2024-01-22,Dr Samuel Bennett,TFR,Transfer,539.77,50-54-40,94326955,46-67-36,84310428,Hayley Hurst,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000792,2023-09-15,Hughes Inc,FPO,Faster Payment Outgoing,14616.25,97-79-53,84655418,19-24-59,60862646,Chapman-Wilson,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000793,2023-03-23,Danny Mitchell,FPO,Faster Payment Outgoing,15677.82,28-30-28,18203177,91-26-43,17815728,Frost-Carr,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000794,2023-09-10,Coleman and Sons,BGC,Bank Giro Credit,980.58,82-12-78,24014960,43-26-89,48197849,Dr Helen Wright,,,Structuring,Many small deposits just below reporting threshold
SUS000795,2023-07-17,Wendy Ferguson-Scott,FPO,Faster Payment Outgoing,8287.85,25-53-91,37808373,16-43-48,75954782,Lynda Thornton,,,Money Laundering,Large international transactions with no clear source
SUS000796,2024-08-31,"Edwards, Bowen and Austin",FPO,Faster Payment Outgoing,12396.29,72-87-75,55651708,37-93-29,52244227,Tracey Saunders,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000797,2023-02-23,Victor Stephens,FPO,Faster Payment Outgoing,759.45,62-88-76,47249748,26-56-44,47201891,Geraldine Evans-Taylor,,,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000798,2023-03-23,Kate Sims,REF,Refund,457.94,11-60-50,87660453,70-87-59,18199551,Sam Kennedy,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000799,2025-02-01,Richardson PLC,CHQ,Cheque,10173.81,44-99-81,63074806,92-37-21,82362190,Dr Peter Bowen,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000800,2025-03-22,Chelsea Shaw,TFR,Transfer,382.44,13-49-19,01036140,54-40-60,32657835,Douglas Harrison-Slater,,,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000801,2023-01-21,Dr Yvonne Rowe,CHQ,Cheque,1183.26,81-13-55,75106645,38-43-47,80963305,Miss Caroline Coleman,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000802,2025-04-04,Leanne Nicholls,SEPA,SEPA Credit Transfer,5350.31,93-59-41,51918005,37-73-50,49728720,Dr Jacqueline Gordon,DE34502878322962544693,RKEAGBPQ05V,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000803,2024-05-17,Julian Price,CSH,Cash transaction,951.73,91-99-19,22856539,64-69-17,23827155,Farrell-Barnes,,,Structuring,Many small deposits just below reporting threshold
SUS000804,2023-12-31,"Wilson, Kirk and Horton",REF,Refund,494.98,40-92-40,27380570,72-72-62,73427824,James Price,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000805,2024-06-24,Brian Smith,FPO,Faster Payment Outgoing,23838.45,62-74-71,00489992,89-63-49,33748448,Judith Ahmed,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000806,2025-02-25,Toby Taylor,TFR,Transfer,2120.85,23-36-96,69858774,65-98-58,39934814,Ashton-Knowles,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000807,2023-09-03,Dr Mathew Brown,TFR,Transfer,13614.71,48-89-99,14931037,24-47-48,16466340,Frederick Sanders,,,Money Laundering,Large international transactions with no clear source
SUS000808,2025-04-11,Russell Miles,REF,Refund,558.92,49-65-48,46119267,65-40-68,68050214,Blake Group,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000809,2023-01-23,Joseph Abbott,REF,Refund,852.7,99-99-73,81446498,23-80-28,49303293,"Cooke, Bryant and Scott",,,Fake Refunds,Frequent large refunds without matching purchases
SUS000810,2024-06-14,Leigh Smith,CSH,Cash transaction,952.21,76-36-18,03487144,29-13-79,75103859,Annette Wilson,,,Structuring,Many small deposits just below reporting threshold
SUS000811,2024-04-06,Dyer Ltd,FPO,Faster Payment Outgoing,9983.75,53-67-64,01494393,25-91-89,77400392,"Lloyd, Khan and Kaur",,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000812,2024-09-21,Bethany Russell,FPO,Faster Payment Outgoing,3167.84,87-73-35,28038445,35-51-10,64573261,Ms Marion Wilson,,,Round-Tripping,Funds sent back and forth between same entities
SUS000813,2024-05-01,Victor Smith,MT103,SWIFT Credit Transfer,2713.88,72-62-62,86272158,40-34-39,10541806,Christian Long-Berry,DE32997571382581653472,TMPCGBYXH40,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000814,2023-02-14,"Miles, Williams and Davies",MT103,SWIFT Credit Transfer,17748.04,84-99-97,89062446,86-40-81,63725334,Max Rowe-Simpson,DE44487086058537040135,FJJSGBMI3FQ,Money Laundering,Large international transactions with no clear source
SUS000815,2024-12-30,Jeremy Field,MT103,SWIFT Credit Transfer,12206.62,40-37-75,96277197,75-97-88,80676022,Steven Roberts,DE88548855609510736925,ZIXLGBDQM6P,Money Laundering,Large international transactions with no clear source
SUS000816,2024-07-03,Zoe Read,SEPA,SEPA Credit Transfer,5699.14,93-48-17,23629322,36-45-84,88887585,Paula Chapman,DE65515597192318309393,TCQRGBP2KI3,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000817,2023-08-04,Parkes-Miller,TFR,Transfer,4481.39,21-49-76,96266586,23-97-80,06024317,"Weston, Williams and Burke",,,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000818,2024-08-10,Stewart Little,FPO,Faster Payment Outgoing,11810.82,40-27-91,75945706,37-54-88,36864592,Bethany Ryan,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000819,2023-09-21,Dr Naomi Ali,TFR,Transfer,9971.37,85-84-97,55760398,77-15-11,70376269,Dr Robert Collins,,,Money Laundering,Large international transactions with no clear source
SUS000820,2024-02-12,Dr Danny Hooper,CHQ,Cheque,757.32,87-55-40,00172994,38-57-91,23043726,May Ltd,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000821,2024-03-07,"Thomas, Macdonald and Hughes",CHQ,Cheque,1670.64,17-64-20,57571062,85-29-77,11308682,Adrian Lane,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000822,2024-12-14,Bradley Jones-Smith,BGC,Bank Giro Credit,963.24,63-31-98,12494739,57-94-46,68475974,Kyle Hill,,,Structuring,Many small deposits just below reporting threshold
SUS000823,2024-06-15,Lorraine Taylor,CHQ,Cheque,9142.37,10-40-39,58935978,36-98-58,60315636,"Martin, Coates and Field",,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000824,2023-06-07,Jodie Sinclair,ATM,ATM Transaction,466.71,70-35-27,16078422,55-65-79,12668691,Paul Burgess,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000825,2023-09-03,Mark Hudson-Carr,POS,Point of Sale,984.85,30-74-69,82690092,30-73-97,72715333,Mr Frederick Webb,,,Structuring,Many small deposits just below reporting threshold
SUS000826,2025-02-24,"Williams, Rhodes and Patel",FPO,Faster Payment Outgoing,4391.56,41-80-11,63537013,73-78-40,05672457,"Coleman, Bradley and Lewis",,,Account Takeover,Multiple transactions from different IPs/devices
SUS000827,2024-11-07,Mrs Rosie Day,FPO,Faster Payment Outgoing,1065.42,78-34-93,13913109,56-62-95,24322885,Mr Tom Murray,,,Round-Tripping,Funds sent back and forth between same entities
SUS000828,2024-06-07,Dr Arthur Gough,CHQ,Cheque,48.18,87-95-14,23941762,39-13-44,36027387,Mrs Tracey Thompson,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000829,2023-03-30,Dr Louis Hardy,CHQ,Cheque,1593.5,69-64-78,28320148,59-72-84,04235201,Mr Graeme Potter,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000830,2023-07-30,Thompson-Evans,TFR,Transfer,4914.32,86-80-16,51942127,92-32-37,29505331,Smith-Wood,,,Round-Tripping,Funds sent back and forth between same entities
SUS000831,2025-01-22,Brett Singh,ATM,ATM Transaction,293.05,71-48-31,49178647,61-93-57,03217095,Mathew Ingram,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000832,2023-10-24,Dr Kevin Elliott,MT103,SWIFT Credit Transfer,10941.61,69-46-24,40044158,87-78-16,08389701,Raymond Lee-Chambers,DE58187740672701427324,GYVUGBE6WGV,Money Laundering,Large international transactions with no clear source
SUS000833,2024-08-25,Antony Taylor,ATM,ATM Transaction,190.57,44-65-92,47221735,20-29-45,82563296,"Townsend, Harding and Kirk",,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000834,2024-04-10,Cameron Hamilton,CHQ,Cheque,18112.74,79-92-27,15448241,99-66-26,68967557,Russell Nelson,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000835,2024-02-17,Parker Group,FPO,Faster Payment Outgoing,9852.53,47-96-82,11740979,74-65-20,42601150,Samuel Smith,,,Money Laundering,Large international transactions with no clear source
SUS000836,2025-04-03,Denis Bradley,BGC,Bank Giro Credit,967.5,16-86-34,88390771,23-64-10,42143999,Jason Wong,,,Structuring,Many small deposits just below reporting threshold
SUS000837,2024-05-13,"Robinson, Richards and Jones",POS,Point of Sale,969.83,77-52-17,72060739,85-31-43,93839560,Kelly Group,,,Structuring,Many small deposits just below reporting threshold
SUS000838,2023-01-21,Teresa Edwards,CHQ,Cheque,4411.61,86-96-28,70711560,98-43-55,16757810,Ms Chloe Rogers,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000839,2023-07-16,Dr Terence Allen,REF,Refund,123.97,72-20-73,78402555,41-65-21,96155940,Georgia Harrison,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000840,2024-12-20,"Howard, Howell and Herbert",ATM,ATM Transaction,65.49,54-51-52,92901193,68-80-63,04893664,Ball Ltd,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000841,2024-12-30,Dr William Bradley,MT103,SWIFT Credit Transfer,13013.35,81-87-32,14029874,39-37-59,17565907,"Marshall, Richardson and Dyer",DE72804998722726131094,JQECGB743SQ,Money Laundering,Large international transactions with no clear source
SUS000842,2023-06-03,Victoria Thompson,TFR,Transfer,885.81,90-39-14,37235495,43-72-63,49645756,Albert Watts,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000843,2023-09-18,Tina Poole,FPO,Faster Payment Outgoing,13990.81,78-92-71,48277159,33-86-55,51656226,Denis Wright,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000844,2025-04-19,"Lee, Goddard and Gough",CHQ,Cheque,15127.1,80-19-13,25436205,88-37-10,15692646,Antony Jarvis,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000845,2023-09-24,Lauren Fisher-Rees,SEPA,SEPA Credit Transfer,2009.74,94-30-73,71747333,57-23-33,66667720,Mitchell Jones-Johnson,DE77399416996277200321,VAKMGB2MLNW,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000846,2024-07-16,Gerald O'Brien,REF,Refund,127.92,31-18-84,10393707,84-22-97,98155963,Tracey Hardy,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000847,2023-02-18,Katherine Russell,CHQ,Cheque,8074.66,12-22-38,69674226,23-79-49,25025398,Ellie Fletcher-Rhodes,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000848,2024-12-05,Stephanie Phillips,BGC,Bank Giro Credit,997.71,28-64-55,88637598,43-72-54,27590329,Gary Thomas,,,Structuring,Many small deposits just below reporting threshold
SUS000849,2023-09-03,Robinson-Butler,CHQ,Cheque,14646.08,66-82-60,79751516,42-39-43,64862309,Louis Jones,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000850,2023-07-12,Holly Stanley,MT103,SWIFT Credit Transfer,15872.28,48-64-94,27207671,79-68-44,45450196,Brown Ltd,DE39128305094319434893,THAIGBFMOWY,Money Laundering,Large international transactions with no clear source
SUS000851,2024-01-23,Mr Daniel Skinner,ATM,ATM Transaction,98.84,28-81-76,43605023,82-10-42,00640918,Gough-Davis,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000852,2025-01-06,Martyn Browne,ATM,ATM Transaction,435.25,46-42-14,35080783,51-31-92,31331091,Janice Nash,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000853,2024-06-05,"Hodgson, Goodwin and Waters",ATM,ATM Transaction,100.31,86-69-87,64005632,58-89-87,32835434,Lindsey Cooper,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000854,2025-03-14,Janet Baker,FPO,Faster Payment Outgoing,1247.37,41-21-65,65485934,80-42-66,69381550,Cox LLC,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000855,2023-06-11,Paige Miah,ATM,ATM Transaction,85.12,74-68-12,97508817,91-88-59,93866193,Simpson-Simpson,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000856,2024-01-05,Mr Adrian Bennett,REF,Refund,509.31,95-89-14,02746893,99-32-31,36782046,Gillian Green,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000857,2024-08-14,Rhys O'Brien,FPO,Faster Payment Outgoing,682.56,90-20-30,76573867,47-90-17,64828592,Marc Walsh,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000858,2023-06-17,Conor Walton,CHQ,Cheque,8134.21,28-85-90,58779291,44-45-13,40204600,Ms Tina King,,,Cheque Fraud,High-value cheque with unusual beneficiary
